,OSEBuildingID,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu)
0,1,NonResidential,Hotel,7,DOWNTOWN,47.6122,-122.33799,1927-01-01,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,60.0,7456910.0
1,2,NonResidential,Hotel,7,DOWNTOWN,47.61317,-122.33393,1996-01-01,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,61.0,8664479.0
2,3,NonResidential,Hotel,7,DOWNTOWN,47.61393,-122.3381,1969-01-01,1.0,41,956110,196718,759392,Hotel,Hotel,756493.0,43.0,73937112.0
3,5,NonResidential,Hotel,7,DOWNTOWN,47.61412,-122.33664,1926-01-01,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,56.0,6946800.5
4,8,NonResidential,Hotel,7,DOWNTOWN,47.61375,-122.34047,1980-01-01,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,75.0,14656503.0
5,9,Nonresidential COS,Other,7,DOWNTOWN,47.61623,-122.33657,1999-01-01,1.0,2,97288,37198,60090,Police Station,Police Station,88830.0,,12581712.0
6,10,NonResidential,Hotel,7,DOWNTOWN,47.6139,-122.33283,1926-01-01,1.0,11,83008,0,83008,Hotel,Hotel,81352.0,27.0,6062767.5
7,11,NonResidential,Other,7,DOWNTOWN,47.61327,-122.33136,1926-01-01,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,7067881.5
8,12,NonResidential,Hotel,7,DOWNTOWN,47.60294,-122.33263,1904-01-01,1.0,15,163984,0,163984,Hotel,Hotel,163984.0,43.0,14194054.0
10,15,NonResidential,Hotel,7,DOWNTOWN,47.60695,-122.33414,1969-01-01,1.0,11,153163,19279,133884,Hotel,Hotel,133884.0,30.0,16646930.0
11,16,NonResidential,Hotel,7,DOWNTOWN,47.60713,-122.33323,1998-01-01,1.0,25,333176,61161,272015,Hotel,Hotel,336640.0,36.0,27070114.0
12,17,NonResidential,Hotel,7,DOWNTOWN,47.60699,-122.33346,1928-01-01,1.0,9,65009,0,65009,Hotel,Hotel,65009.0,48.0,6358719.5
13,18,NonResidential,Hotel,7,DOWNTOWN,47.60809,-122.33212,1980-01-01,1.0,33,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,58.0,22524948.0
14,19,NonResidential,Hotel,7,DOWNTOWN,47.60755,-122.33244,1922-01-01,1.0,11,92190,25200,66990,"Hotel, Parking",Hotel,67390.0,35.0,11179203.0
15,21,Nonresidential COS,Other,7,DOWNTOWN,47.60649,-122.33297,2004-01-01,1.0,11,412000,57000,355000,"Data Center, Library, Parking",Library,364913.0,,18706912.0
16,22,NonResidential,Other,7,DOWNTOWN,47.60546,-122.33279,1930-01-01,1.0,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,,10192124.0
17,23,NonResidential,Hotel,7,DOWNTOWN,47.60681,-122.33078,1983-01-01,1.0,28,416281,85000,331281,"Hotel, Parking",Hotel,348329.0,31.0,34351920.0
18,24,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60515,-122.33159,1907-01-01,1.0,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,,7877219.0
19,25,NonResidential,Hotel,7,DOWNTOWN,47.60376,-122.33194,1916-01-01,1.0,10,104352,0,104352,Hotel,Hotel,104352.0,39.0,10154608.0
20,26,NonResidential,Other,7,DOWNTOWN,47.60265,-122.33051,1916-01-01,1.0,10,540360,0,540360,Courthouse,Courthouse,537150.0,76.0,47023088.0
21,27,NonResidential,Other,3,DOWNTOWN,47.60378,-122.32842,1985-01-01,1.0,19,385274,0,385274,Other,Other,385274.0,,49539212.0
23,29,NonResidential,Hotel,4,NORTHEAST,47.65959,-122.31755,2001-01-01,1.0,6,88592,30586,58006,"Hotel, Parking",Hotel,58006.0,84.0,3673186.75
24,30,NonResidential,University,7,DOWNTOWN,47.61816,-122.33629,1928-01-01,1.0,7,126593,0,126593,College/University,College/University,125000.0,,12183313.0
25,31,NonResidential,Other,7,DOWNTOWN,47.615,-122.33081,1930-01-01,1.0,2,67224,0,67224,Automobile Dealership,Automobile Dealership,67224.0,,1310236.625
26,32,NonResidential,Hotel,7,EAST,47.61301,-122.32929,1991-01-01,1.0,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676.0,,5424942.0
27,33,NonResidential,Hotel,7,DOWNTOWN,47.61784,-122.32966,2001-01-01,1.0,10,171866,38281,133585,Hotel,Hotel,128909.0,57.0,11171407.0
29,35,NonResidential,Hotel,7,DOWNTOWN,47.61558,-122.34186,1978-01-01,1.0,5,68410,16200,52210,Hotel,Hotel,47994.0,57.0,4557974.0
32,38,NonResidential,Small- and Mid-Sized Office,4,LAKE UNION,47.6641,-122.33118,1906-01-01,1.0,3,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943.0,,4703690.0
33,40,NonResidential,Hotel,4,NORTHEAST,47.66583,-122.29965,1994-01-01,1.0,4,81871,0,81871,Hotel,Hotel,81871.0,29.0,6731281.5
34,41,NonResidential,Self-Storage Facility,4,NORTHEAST,47.66172,-122.29598,1955-01-01,1.0,2,110356,0,110356,Self-Storage Facility,Self-Storage Facility,26225.0,,326223.0938
36,46,NonResidential,Warehouse,2,GREATER DUWAMISH,47.51138,-122.28875,1961-01-01,3.0,2,714095,0,714095,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,616000.0,,44110016.0
39,52,NonResidential,Small- and Mid-Sized Office,6,BALLARD,47.66587,-122.38476,1961-01-01,1.0,2,94900,0,94900,"Non-Refrigerated Warehouse, Office",Office,55586.0,57.0,6536359.5
40,53,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.58034,-122.31132,1900-01-01,1.0,2,52554,0,52554,"Office, Other - Education",Office,51029.0,83.0,3150635.5
41,54,NonResidential,K-12 School,6,NORTHWEST,47.68891,-122.33553,1954-01-01,1.0,3,175015,0,175015,K-12 School,K-12 School,175015.0,95.0,7886505.5
42,55,NonResidential,Self-Storage Facility,7,DOWNTOWN,47.61351,-122.35129,1911-01-01,1.0,3,70586,0,70586,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439.0,,2331573.25
43,56,NonResidential,Hotel,7,DOWNTOWN,47.60946,-122.33337,1969-01-01,1.0,24,332210,205970,126240,Hotel,Hotel,348630.0,67.0,16163194.0
44,57,NonResidential,Large Office,7,DOWNTOWN,47.6113,-122.33659,1973-01-01,1.0,5,168115,0,168115,"Data Center, Office, Retail Store",Office,103362.0,78.0,9536161.0
45,58,NonResidential,Other,7,DOWNTOWN,47.61076,-122.33765,1920-01-01,1.0,2,57428,0,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,51747.0,,1239429.75
46,59,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61048,-122.33794,1910-01-01,1.0,8,59400,0,59400,"Office, Retail Store",Office,34947.0,14.0,5242479.5
47,60,NonResidential,Mixed Use Property,7,DOWNTOWN,47.60886,-122.33744,1926-01-01,1.0,2,52549,0,52549,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500.0,,15683742.0
48,62,NonResidential,Hotel,7,DOWNTOWN,47.61233,-122.33432,1930-01-01,1.0,20,98634,10043,88591,"Hotel, Parking, Restaurant",Hotel,83591.0,71.0,5078816.0
49,63,NonResidential,Hotel,7,DOWNTOWN,47.61087,-122.33339,1982-01-01,1.0,34,994212,146694,847518,"Hotel, Parking, Swimming Pool",Hotel,994212.0,63.0,82318072.0
50,65,NonResidential,Hotel,7,DOWNTOWN,47.60997,-122.34138,1985-01-01,1.0,7,71150,0,71150,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340.0,98.0,5348309.0
51,66,NonResidential,Hotel,7,DOWNTOWN,47.61155,-122.34114,1908-01-01,1.0,7,122810,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360.0,99.0,6088417.5
52,67,NonResidential,Hotel,7,LAKE UNION,47.61986,-122.34413,1959-01-01,1.0,5,113173,42546,70627,"Hotel, Parking",Hotel,70627.0,86.0,5428403.5
53,68,NonResidential,Hotel,7,LAKE UNION,47.62001,-122.34274,2000-01-01,1.0,7,150453,34735,115718,Hotel,Hotel,107547.0,84.0,6835263.5
54,69,NonResidential,Hotel,7,LAKE UNION,47.62025,-122.34314,1997-01-01,1.0,6,116300,28200,88100,Hotel,Hotel,88490.0,80.0,5941927.0
55,70,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1998-01-01,1.0,6,155602,36744,118858,Hotel,Hotel,155602.0,81.0,6849826.5
56,73,NonResidential,K-12 School,3,EAST,47.63442,-122.30793,1911-01-01,1.0,3,56072,0,56072,K-12 School,K-12 School,56072.0,76.0,3800842.5
57,77,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1999-01-01,1.0,4,122942,44891,78051,"Hotel, Parking",Hotel,78051.0,94.0,5387530.0
58,82,NonResidential,Small- and Mid-Sized Office,3,CENTRAL,47.60823,-122.30956,1962-01-01,1.0,2,54984,0,54984,Office,Office,54984.0,71.0,3630147.25
59,84,NonResidential,Senior Care Community,1,SOUTHWEST,47.55837,-122.37751,1922-01-01,1.0,5,217603,0,217603,"Parking, Senior Care Community",Senior Care Community,296313.0,54.0,45547252.0
60,85,NonResidential,Senior Care Community,5,NORTHWEST,47.72426,-122.35599,1970-01-01,1.0,2,93397,0,93397,Senior Care Community,Senior Care Community,93397.0,1.0,16959754.0
61,86,NonResidential,Hotel,7,LAKE UNION,47.61988,-122.33211,2008-01-01,1.0,6,84103,20732,63371,"Hotel, Parking",Hotel,63371.0,74.0,3787499.0
63,89,NonResidential,Medical Office,3,EAST,47.61244,-122.3214,1965-01-01,0.0,3,179014,0,179014,Medical Office,Medical Office,179014.0,48.0,16527711.0
64,95,NonResidential,Hotel,3,EAST,47.60898,-122.32693,1908-01-01,1.0,7,76631,0,76631,Hotel,Hotel,76631.0,71.0,7250730.5
65,96,NonResidential,Mixed Use Property,3,EAST,47.60845,-122.32637,1983-01-01,1.0,6,99780,9341,90439,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174.0,,15684371.0
66,98,NonResidential,Retail Store,7,LAKE UNION,47.62237,-122.33805,1929-01-01,1.0,2,58320,0,58320,Retail Store,Retail Store,72072.0,96.0,1243027.75
67,100,NonResidential,Large Office,7,LAKE UNION,47.62424,-122.33646,2010-01-01,1.0,5,316306,0,316306,"Office, Other, Parking, Retail Store",Office,261826.0,96.0,13909270.0
68,102,NonResidential,Hotel,3,LAKE UNION,47.62642,-122.33325,1990-01-01,1.0,7,282863,44766,238097,"Hotel, Parking",Hotel,235788.0,37.0,20194606.0
69,103,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962-01-01,1.0,1,389000,0,389000,Other,Other,368000.0,,23736924.0
70,104,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1962-01-01,1.0,1,91213,0,91213,Other,Other,65000.0,,8181881.0
71,106,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62208,-122.35398,1938-01-01,1.0,5,396085,0,396085,Other,Other,278500.0,,21257836.0
72,107,NonResidential,Large Office,7,LAKE UNION,47.62112,-122.33629,2010-01-01,1.0,12,571329,0,571329,"Office, Other, Parking",Office,598801.0,91.0,40153432.0
73,110,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1962-01-01,1.0,2,52000,0,52000,Other,Other,52000.0,,2682242.75
74,111,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35077,1928-01-01,1.0,1,60696,0,60696,Other,Other,108000.0,,875943.3125
75,112,Nonresidential COS,Other,7,MAGNOLIA / QUEEN ANNE,47.62395,-122.35143,1928-01-01,1.0,2,262048,0,262048,Other,Other,296000.0,,20823520.0
76,113,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.62391,-122.34837,1986-01-01,0.0,2,66240,2352,63888,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,45900.0,,4192107.75
77,114,NonResidential,Large Office,7,MAGNOLIA / QUEEN ANNE,47.62419,-122.34443,2010-01-01,1.0,6,920598,303707,616891,"Office, Other, Parking",Office,729584.0,93.0,38105108.0
78,115,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.62053,-122.35842,1970-01-01,1.0,4,76213,25930,50283,"Office, Other, Parking",Office,48546.0,68.0,3647345.75
79,116,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62291,-122.35708,2002-01-01,1.0,6,96910,36934,59976,"Hotel, Parking",Hotel,59976.0,56.0,5274523.0
80,117,NonResidential,Hotel,4,NORTHEAST,47.65772,-122.31756,1962-01-01,2.0,4,50017,0,50017,"Hotel, Swimming Pool",Hotel,50017.0,53.0,5528580.5
82,119,NonResidential,K-12 School,3,EAST,47.62548,-122.30828,1923-01-01,1.0,3,67743,0,67743,K-12 School,K-12 School,67743.0,34.0,3036464.0
83,120,NonResidential,K-12 School,3,EAST,47.62644,-122.30429,1908-01-01,1.0,6,194104,0,194104,K-12 School,K-12 School,194104.0,100.0,7204080.0
84,121,NonResidential,Small- and Mid-Sized Office,3,SOUTHEAST,47.58408,-122.30125,2003-01-01,1.0,3,99433,35752,63681,"Office, Parking",Office,63681.0,63.0,4980737.5
89,131,NonResidential,Other,4,NORTHEAST,47.67524,-122.31534,1941-01-01,1.0,4,56521,0,56521,Other,Other,49000.0,,6367210.0
90,132,NonResidential,Other,4,NORTHEAST,47.67559,-122.31769,1929-01-01,1.0,2,206934,0,206934,"Other, Parking",Other,119146.0,,4384625.5
91,136,NonResidential,Hotel,5,NORTHWEST,47.73141,-122.3458,2001-01-01,1.0,4,51390,0,51390,"Hotel, Parking",Hotel,51390.0,89.0,3616214.0
94,139,NonResidential,Hotel,5,NORTHWEST,47.72551,-122.3423,2002-01-01,1.0,3,69138,0,69138,Hotel,Hotel,70609.0,78.0,3323400.5
96,144,NonResidential,Hotel,7,DOWNTOWN,47.6048,-122.3368,1904-01-01,1.0,5,190980,0,190980,"Hotel, Parking",Hotel,190980.0,98.0,6505995.0
97,145,Nonresidential COS,Other,7,DOWNTOWN,47.60804,-122.3367,1998-01-01,1.0,6,284100,0,284100,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,189750.0,,14881950.0
98,147,NonResidential,Hospital,6,BALLARD,47.66737,-122.37956,1954-01-01,4.0,5,285333,0,285333,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),302661.0,14.0,47602720.0
100,163,Nonresidential COS,Other,2,DOWNTOWN,47.60112,-122.32785,2006-01-01,1.0,4,61156,0,61156,"Office, Other",Other,42755.0,,9550716.0
101,167,NonResidential,Other,2,DOWNTOWN,47.59809,-122.32283,1910-01-01,1.0,4,72820,13820,59000,Museum,Museum,58000.0,,2095175.25
102,168,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62614,-122.3467,1996-01-01,1.0,4,162222,14200,148022,"Hotel, Parking",Hotel,113702.0,76.0,8016521.0
104,170,NonResidential,University,3,EAST,47.61495,-122.32177,1915-01-01,1.0,3,63330,0,63330,College/University,College/University,64820.0,,3284214.5
106,173,NonResidential,Small- and Mid-Sized Office,4,NORTHEAST,47.67828,-122.26456,2002-01-01,1.0,2,96300,0,96300,"Data Center, Office",Office,92300.0,,16274449.0
107,174,Nonresidential COS,Other,2,GREATER DUWAMISH,47.59545,-122.32146,1950-01-01,1.0,1,67356,0,67356,"Repair Services (Vehicle, Shoe, Locksmith, etc)","Repair Services (Vehicle, Shoe, Locksmith, etc)",68359.0,,8086930.5
112,179,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.53827,-122.28406,1958-01-01,1.0,1,54765,0,54765,"Office, Other",Office,25765.0,,4503671.5
113,180,NonResidential,Other,2,GREATER DUWAMISH,47.53722,-122.284,2009-01-01,1.0,5,89821,0,89821,"Food Service, Office, Other - Lodging/Residential",Other - Lodging/Residential,46483.0,,2220796.5
114,182,NonResidential,University,7,MAGNOLIA / QUEEN ANNE,47.65147,-122.36122,1980-01-01,1.0,2,52611,0,52611,College/University,College/University,52611.0,,4390158.0
115,183,NonResidential,Residence Hall,7,MAGNOLIA / QUEEN ANNE,47.65068,-122.36331,2001-01-01,1.0,4,139600,37500,102100,Residence Hall/Dormitory,Residence Hall/Dormitory,135520.0,89.0,4800620.5
117,187,NonResidential,Other,3,CENTRAL,47.60462,-122.31549,1971-01-01,3.0,6,250981,0,250981,"Courthouse, Other",Other,137565.0,,14196194.0
119,338,NonResidential,Other,7,DOWNTOWN,47.61598,-122.33448,2004-01-01,1.0,11,299070,68432,230638,Other,Other,250000.0,,66000296.0
120,190,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.536,-122.31768,2007-01-01,1.0,3,64015,0,64015,"Non-Refrigerated Warehouse, Office, Other - Services",Office,30000.0,21.0,3375016.25
121,194,NonResidential,Retail Store,5,NORTH,47.70759,-122.3255,1951-01-01,1.0,1,530039,0,530039,"Restaurant, Retail Store",Retail Store,505103.0,98.0,28763498.0
122,195,NonResidential,Other,5,NORTH,47.7066,-122.321,1964-01-01,1.0,3,54224,0,54224,Other/Specialty Hospital,Other/Specialty Hospital,47012.0,,7668810.0
123,197,NonResidential,Retail Store,5,NORTH,47.70619,-122.32586,1965-01-01,1.0,4,124342,0,124342,Retail Store,Retail Store,122000.0,76.0,8729918.0
124,198,NonResidential,Hospital,4,NORTHEAST,47.66231,-122.28146,1953-01-01,6.0,10,879000,0,879000,Hospital (General Medical & Surgical),Hospital (General Medical & Surgical),879000.0,10.0,257764208.0
125,200,NonResidential,Other,5,NORTHWEST,47.70956,-122.3345,1996-01-01,1.0,3,55442,0,55442,"Financial Office, Medical Office, Parking",Financial Office,28636.0,72.0,3313397.0
127,209,NonResidential,Self-Storage Facility,3,EAST,47.61233,-122.3171,1910-01-01,1.0,5,84870,0,84870,Self-Storage Facility,Self-Storage Facility,85521.0,,1617801.25
131,215,NonResidential,Warehouse,2,GREATER DUWAMISH,47.55152,-122.31869,1904-01-01,1.0,4,114297,0,114297,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,114297.0,61.0,2415462.5
134,220,NonResidential,Warehouse,2,GREATER DUWAMISH,47.55901,-122.33328,1937-01-01,1.0,1,234144,0,234144,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,234144.0,87.0,7874958.5
135,223,NonResidential,Retail Store,1,DELRIDGE,47.52254,-122.36627,1966-01-01,1.0,1,64984,0,64984,Retail Store,Retail Store,65425.0,72.0,3016373.5
136,224,NonResidential,Retail Store,1,DELRIDGE,47.52254,-122.36627,1965-01-01,1.0,1,67745,0,67745,Retail Store,Retail Store,67782.0,37.0,9589728.0
140,228,NonResidential,Other,6,BALLARD,47.67767,-122.39631,1973-01-01,1.0,3,56000,0,56000,Other,Other,56000.0,,2088978.125
142,230,NonResidential,Self-Storage Facility,1,SOUTHWEST,47.54508,-122.37737,1969-01-01,1.0,2,52088,0,52088,Self-Storage Facility,Self-Storage Facility,52088.0,,1576122.875
144,232,NonResidential,Hotel,3,LAKE UNION,47.62972,-122.32906,1998-01-01,1.0,5,123920,30000,93920,"Hotel, Parking, Swimming Pool",Hotel,123920.0,79.0,9676783.0
145,233,Nonresidential COS,Other,3,LAKE UNION,47.62759,-122.33661,1900-01-01,1.0,1,50000,0,50000,Museum,Museum,43000.0,,7942537.5
146,234,Nonresidential COS,Warehouse,7,MAGNOLIA / QUEEN ANNE,47.62591,-122.34084,1926-01-01,1.0,2,50292,0,50292,"Non-Refrigerated Warehouse, Office, Other - Services, Residence Hall/Dormitory",Non-Refrigerated Warehouse,42345.0,,430473.6875
147,235,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,47.62782,-122.34045,1998-01-01,1.0,7,207656,54341,153315,Hotel,Hotel,141591.0,76.0,11754087.0
149,238,Nonresidential COS,Small- and Mid-Sized Office,5,NORTHWEST,47.70044,-122.34136,1957-01-01,1.0,2,91130,0,91130,"Data Center, Distribution Center, Office, Other, Parking",Office,57968.0,,10005492.0
151,241,NonResidential,Hotel,5,NORTHWEST,47.70916,-122.33216,1968-01-01,1.0,4,64893,0,64893,Hotel,Hotel,64893.0,70.0,6211749.5
154,244,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60105,-122.33518,1900-01-01,1.0,3,44558,0,44558,"Office, Restaurant, Self-Storage Facility",Office,34416.0,78.0,1722053.0
155,245,NonResidential,Other,2,GREATER DUWAMISH,47.59544,-122.33159,1999-01-01,1.0,6,1585960,327680,1258280,"Other - Entertainment/Public Assembly, Parking",Other - Entertainment/Public Assembly,1585960.0,,62160304.0
156,247,Nonresidential COS,Distribution Center,2,GREATER DUWAMISH,47.57199,-122.32811,1924-01-01,1.0,2,179161,0,179161,"Data Center, Distribution Center, Office, Other",Distribution Center,117476.0,,10168523.0
157,248,Nonresidential COS,Warehouse,2,GREATER DUWAMISH,47.57199,-122.32811,1965-01-01,1.0,2,58640,0,58640,"Non-Refrigerated Warehouse, Office, Other, Other - Services",Non-Refrigerated Warehouse,40831.0,,4327563.5
158,249,NonResidential,Other,2,GREATER DUWAMISH,47.59085,-122.33354,1999-01-01,1.0,3,1172127,0,1172127,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,1172127.0,,57406988.0
159,250,NonResidential,Hotel,2,GREATER DUWAMISH,47.59269,-122.33372,2005-01-01,1.0,9,168449,14567,153882,"Food Service, Hotel, Parking",Hotel,135006.0,64.0,12871628.0
160,257,NonResidential,Warehouse,1,GREATER DUWAMISH,47.57507,-122.35747,1916-01-01,0.0,4,79600,0,79600,Non-Refrigerated Warehouse,Non-Refrigerated Warehouse,79600.0,34.0,2411402.25
163,263,NonResidential,Other,5,NORTH,47.70281,-122.32532,2008-01-01,1.0,6,419848,335109,84739,"Fast Food Restaurant, Medical Office, Movie Theater, Parking, Retail Store",Parking,335109.0,,9238992.0
164,264,NonResidential,Mixed Use Property,7,MAGNOLIA / QUEEN ANNE,47.6239,-122.35756,2002-01-01,1.0,4,110785,0,110785,"Financial Office, Multifamily Housing, Parking, Retail Store, Supermarket/Grocery Store",Multifamily Housing,58563.0,,10864032.0
166,267,NonResidential,Hotel,7,DOWNTOWN,47.61275,-122.3333,1999-01-01,1.0,0,934292,0,934292,"Hotel, Other, Parking, Restaurant, Retail Store",Hotel,495536.0,,66502836.0
167,268,NonResidential,Hospital,3,CENTRAL,47.60705,-122.30966,1990-01-01,6.0,5,597519,0,597519,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),601615.0,34.0,147299056.0
169,274,NonResidential,Warehouse,4,LAKE UNION,47.65097,-122.34227,1991-01-01,1.0,3,75397,8161,67236,"Non-Refrigerated Warehouse, Parking",Non-Refrigerated Warehouse,67236.0,91.0,571637.5
170,276,NonResidential,Hospital,3,EAST,47.60399,-122.32377,2000-01-01,9.0,8,1158691,0,1158691,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),1350182.0,29.0,296671744.0
171,278,NonResidential,Senior Care Community,2,DOWNTOWN,47.59626,-122.3218,1999-01-01,1.0,5,102796,12611,90185,"K-12 School, Medical Office, Office, Restaurant, Retail Store, Senior Care Community",Senior Care Community,55259.0,,10281401.0
174,281,NonResidential,K-12 School,4,NORTHEAST,47.66568,-122.31368,1928-01-01,1.0,2,55653,0,55653,K-12 School,K-12 School,55500.0,98.0,1597907.25
175,282,NonResidential,Hotel,4,NORTHEAST,47.66151,-122.31457,1931-01-01,1.0,16,106860,0,106860,Hotel,Hotel,106860.0,49.0,12616417.0
176,283,NonResidential,Small- and Mid-Sized Office,5,NORTH,47.71895,-122.29475,1972-01-01,1.0,5,50759,0,50759,"Office, Restaurant",Office,47079.0,62.0,3321734.0
177,284,NonResidential,Worship Facility,4,NORTHEAST,47.66182,-122.31113,1952-01-01,1.0,2,56772,0,56772,Worship Facility,Worship Facility,56772.0,46.0,2762805.5
178,285,NonResidential,Worship Facility,4,NORTHEAST,47.6626,-122.31164,1952-01-01,1.0,3,103000,0,103000,Worship Facility,Worship Facility,103000.0,42.0,5391782.0
185,293,NonResidential,Other,7,DOWNTOWN,47.61103,-122.33238,1914-01-01,1.0,7,128766,0,128766,"Office, Other, Other - Entertainment/Public Assembly",Other - Entertainment/Public Assembly,109754.0,,6057410.0
186,294,NonResidential,Residence Hall,7,DOWNTOWN,47.6079,-122.33266,1913-01-01,1.0,9,107572,0,107572,"Office, Residence Hall/Dormitory, Retail Store",Residence Hall/Dormitory,63934.0,76.0,5879083.0
187,295,NonResidential,Other,7,DOWNTOWN,47.60699,-122.33481,1955-01-01,1.0,15,230880,0,230880,Other,Other,203000.0,,61674856.0
192,302,NonResidential,Other,7,MAGNOLIA / QUEEN ANNE,47.63965,-122.3783,1973-01-01,1.0,1,76086,0,76086,Other,Other,77810.0,,3576720.0
193,313,NonResidential,Medical Office,7,MAGNOLIA / QUEEN ANNE,47.61972,-122.36033,1927-01-01,1.0,5,190000,39000,151000,"Medical Office, Office",Medical Office,146741.0,1.0,28731502.0
194,314,NonResidential,Hotel,7,DOWNTOWN,47.6124,-122.35075,1961-01-01,1.0,4,122309,0,122309,Hotel,Hotel,122309.0,8.0,26122018.0
196,316,NonResidential,Hotel,7,DOWNTOWN,47.61069,-122.34653,2003-01-01,1.0,8,254273,38800,215473,Hotel,Hotel,277000.0,29.0,26831896.0
197,317,Nonresidential COS,Other,7,DOWNTOWN,47.60729,-122.34211,1980-01-01,1.0,2,69400,0,69400,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,69400.0,,15230290.0
198,318,NonResidential,Mixed Use Property,7,DOWNTOWN,47.6041,-122.33958,1900-01-01,1.0,1,62900,0,62900,"Other, Restaurant, Retail Store",Restaurant,32494.0,,10883874.0
199,319,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.60271,-122.33557,1914-01-01,1.0,4,56500,0,56500,"Office, Retail Store",Office,33000.0,98.0,1500938.5
200,320,NonResidential,Warehouse,2,GREATER DUWAMISH,47.59486,-122.32455,2008-01-01,1.0,4,203504,0,203504,"Non-Refrigerated Warehouse, Other - Services",Non-Refrigerated Warehouse,159372.0,72.0,3944732.0
201,322,NonResidential,Large Office,7,DOWNTOWN,47.61757,-122.35122,1968-01-01,0.0,3,100734,26731,74003,Office,Office,100734.0,20.0,9892566.0
202,323,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61703,-122.35012,1981-01-01,1.0,4,77662,18504,59158,"Office, Parking",Office,62108.0,57.0,5168686.5
203,324,NonResidential,Large Office,7,DOWNTOWN,47.61619,-122.34599,1978-01-01,1.0,12,234000,21790,212210,"Financial Office, Laboratory, Office, Parking",Office,173786.0,39.0,18811322.0
204,326,NonResidential,Large Office,7,DOWNTOWN,47.61217,-122.33694,1989-01-01,1.0,25,369996,0,369996,"Office, Parking",Office,383942.0,74.0,24755086.0
