,OSEBuildingID,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu)
3088,29214,NonResidential,Warehouse,2,GREATER DUWAMISH,47.59416,-122.3267,1922-01-01,1.0,1,37400,0,37400,"Distribution Center, Non-Refrigerated Warehouse, Supermarket/Grocery Store",Non-Refrigerated Warehouse,27271.0,73.0,909543.1875
3094,29550,NonResidential,Large Office,2,DOWNTOWN,47.59666,-122.32768,2000-01-01,1.0,11,268130,0,268130,Office,Office,268130.0,88.0,15033874.0
3095,29551,NonResidential,Small- and Mid-Sized Office,2,DOWNTOWN,47.59706,-122.32813,2000-01-01,1.0,11,68452,0,68452,"Bank Branch, Office",Office,61665.0,79.0,3979629.5
3096,29552,NonResidential,Large Office,2,DOWNTOWN,47.59634,-122.32807,2000-01-01,1.0,11,273185,0,273185,Office,Office,281566.0,88.0,14709151.0
3097,29612,NonResidential,K-12 School,4,NORTHEAST,47.66368,-122.27324,1924-01-01,1.0,3,97500,0,97500,K-12 School,K-12 School,97500.0,97.0,4314753.5
3098,29788,NonResidential,Small- and Mid-Sized Office,7,MAGNOLIA / QUEEN ANNE,47.62495,-122.36036,1982-01-01,1.0,5,54015,0,54015,Office,Office,54015.0,75.0,3020001.5
3105,32429,NonResidential,Restaurant,7,DOWNTOWN,47.60805,-122.33978,1985-01-01,1.0,13,42000,0,42000,"Office, Other, Other - Restaurant/Bar, Strip Mall",Other - Restaurant/Bar,26554.0,,7762660.5
3108,33289,NonResidential,Large Office,7,DOWNTOWN,47.61706,-122.35141,1982-01-01,0.0,24,119701,0,119701,"Office, Retail Store",Office,102878.0,67.0,8382140.5
3109,33408,Nonresidential COS,Other,5,NORTH,47.71986,-122.29809,1965-01-01,1.0,1,24697,0,24697,"Library, Other - Services",Library,15300.0,,1395016.125
3110,33527,NonResidential,University,3,CENTRAL,47.59677,-122.30172,2013-01-01,2.0,1,57468,0,57468,College/University,College/University,67750.0,,3778965.75
3111,33548,NonResidential,University,3,EAST,47.61808,-122.32175,2006-01-01,1.0,5,84000,0,84000,College/University,College/University,84300.0,,12581302.0
3114,34348,NonResidential,Retail Store,7,DOWNTOWN,47.6087,-122.33884,1991-01-01,1.0,3,103000,0,103000,Retail Store,Retail Store,103000.0,89.0,5390147.5
3115,34891,NonResidential,Supermarket / Grocery Store,1,SOUTHWEST,47.56137,-122.38524,2008-01-01,1.0,1,37864,0,37864,Supermarket/Grocery Store,Supermarket/Grocery Store,37864.0,61.0,8257472.5
3116,34908,NonResidential,Supermarket / Grocery Store,3,EAST,47.62256,-122.32092,1950-01-01,1.0,2,66497,0,66497,Supermarket/Grocery Store,Supermarket/Grocery Store,66497.0,84.0,9290214.0
3117,35391,NonResidential,Retail Store,7,MAGNOLIA / QUEEN ANNE,47.62473,-122.34727,2006-01-01,1.0,4,34010,0,34010,Retail Store,Retail Store,38428.0,,3611326.75
3118,35392,NonResidential,Supermarket / Grocery Store,7,MAGNOLIA / QUEEN ANNE,47.62473,-122.34727,2006-01-01,1.0,4,45980,0,45980,Supermarket/Grocery Store,Supermarket/Grocery Store,45980.0,79.0,8573323.0
